,title,salary,jobtype,location,description,company
849,Principal Consultant - Commercial Strategy,,Partial Remote Job,"Frankfurt, Germany","
            The principal consultant will lead business development efforts, sell new projects, &amp; lead project engagement teams. Must have 10 years' experience in management &amp; strategy consulting. Health &amp; life <b>sciences</b> exp. needed. This remote role requires travel.
        ",
850,Senior Frontend Engineer - Content Platform,,Option for Remote Job,"New York, NY","
            Senior frontend engineer will be responsible for designing, developing and implementing new user features and experiences. JavaScript and Typescript experience is strongly desired. B.S. or M.S. in Computer <b>Science</b> is a plus. Remote option.
        ",
851,Backend Software Engineer,,100% Remote Job,US National,"
            Software engineer needed for a remote position responsible for writing code, generating and developing design ideas, performing integrations, implementing solutions. Computer <b>Science</b> or related BA/BS, five+ years' programming experience preferred.
        ",
852,Back End Developer,,100% Remote Job,"Canada, United Kingdom, or US National","
            Seeking a backend developer for a work-at-home position. Design/develop backend systems, write code, and complete API's. Bachelor's degree in Computer <b>Science</b> and strong knowledge of Agile methodologies required.
        ",
853,Product Insights Manager,,Option for Remote Job,"Canada, Mexico, Brazil, or US National","
            Remote role. Lead <b>data</b> <b>science</b> and research teams, develop personalized features for music streaming platform, and utilize user feedback to improve products. Requires 3 years' project management experience and knowledge of machine learning tools.
        ",
854,Senior Engineer - Android,,Option for Remote Job,"AL, CA, CT, FL, GA, ID, MA, MD, MI, MO, NE, NC, NY, OR, PA, TN, TX, WA, WY, or US National","
            Remote senior engineer needed to create reliable, scalable, and high-performance apps for android-based systems. 5 years of experience, proficiency in Kotlin or Java, sound computer <b>science</b> fundamentals, and interpersonal/communication skills required.
        ",
855,Software Engineer,,100% Remote Job,US National,"
            Software Engineer needed for a remote, full-time opportunity. The ideal candidate will have 5+ years of Ruby on Rails experience, a bachelor's degree or higher in Computer <b>Science</b>, Computer Engineering, or related field, and SQL experience.
        ",
856,Test Prep Instructor,,100% Remote Job,US National,"
            The test prep instructor will deliver educational content and help enable students to solve problems across the <b>sciences</b>. This is a part-time, remote opportunity. Instructors must be at least 18 years old.
        ",
857,IT Software Quality Assurance Specialist,,Remote - During Pandemic Job,"Memphis, TN","
            Perform development, maintenance, testing, and debugging activities for software. Must have 5 years' information technology/computer <b>science</b> experience or equivalent education and experience. 8-month role with temporary remote work.
        ",
858,Reimbursement Analyst,,100% Remote Job,US National,"
            Remote position for a reimbursement analyst. Will review reimbursement <b>data</b>, prepare PowerPoint reports, compose alerts, monitor regulatory changes and trends, identify problems, and gather <b>data</b> for customer content. Need two years of experience.
        ",
859,Medical Writing Manager,,Option for Remote Job,"United Kingdom, ND, SD, NE, KS, OK, TX, MN, IA, MO, AR, LA, WI, IL, KY, MS, AL, MI, IN, TN, GA, FL, OH, NC, SC, WV, VA, PA, DC, CT, NJ, NY, RI, NH, ME, MD, DE, VT","
            The manager will direct medical writing teams and help plan, develop, and approve clinical documents. The option to telecommute is available. Must have a life <b>sciences</b> degree and experience authoring clinical regulatory documents and managing projects.
        ",
860,Vice President of Business Intelligence,,100% Remote Job,"Dublin, Ireland","
            You will manage the BI pipeline, projects, &amp; teams, targeting actionable <b>data</b> insights we can leverage. Requires a bachelor's degree &amp; 10+ years' work in business intelligence, reporting, <b>data</b> analytics, SQL, AWS, BI tools, &amp; leadership. 100% remote.
        ",
861,Senior Consultant - Medical Device and Diagnostics Services,,Partial Remote Job,"Boston, MA, or US National","
            Lead implementation projects for customers, design products and communicate across teams, manage work budgets and timelines, and ensure project success. Requires 8+ years' life <b>sciences</b> experience, ability to manage diverse customers, and travel 50-75%,
        ",
862,Machine Learning Engineer,,Remote - During Pandemic Job,US National,"
            Seeking machine learning engineer to build out and deploy models, establish best practices, and mentor team members. BA/BS degree in Computer <b>Science</b>, and experience with linear algebra, calculus, and statistics required. Remote during the pandemic.
        ",
863,DevOps Engineer,,Partial Remote Job,"GA, NY","
            Engineer needed for a partially remote position responsible for generating and developing design ideas, conducting tests, troubleshooting and resolving issues. Computer <b>science</b> bachelor's degree, three+ years' DevOps experience required.
        ",
864,Developer Relations Account Manager - Federal Analytics,,Partial Remote Job,"Washington, DC, MD","
            Partially remote, full-time position. Duties include creating &amp; executing business strategies, establishing business relationships, and creating technical &amp; engineering activities. Bachelor's degree in computer <b>science</b> or IT required; masters' preferred.
        ",
865,Research Engineer,,100% Remote Job,Work from Anywhere,"
            The research engineer will identify key research challenges and collaborate on building oracle technologies. A software development background is required. Must have a BS degree in Computer <b>Science</b> or equivalent experience. Remote-based position.
        ",
866,Solution Architect,,Partial Remote Job,US National,"
            Partial-remote role creating clinical or <b>science</b> solutions, meeting sponsor needs, and presenting recommendations. Analyze issues, mitigate risks, and support implementations. Must have a technical degree and experience in the clinical research space.
        ",
867,Research Director,,Partial Remote Job,"United Kingdom, Ireland, Germany, France, Netherlands, Sweden, Italy","
            Conduct research on trends and best practices related to the supply chain for life <b>sciences</b> and produce research for clients. Must have a bachelor's degree and at least 10 years' supply chain experience and expertise. Partial remote position.
        ",
868,Product Marketing Manager,,Option for Remote Job,"Bulgaria, Croatia, Cyprus, Czech Republic, Egypt, Israel, Kenya, Lebanon, Luxembourg, Malta, Nigeria, Oman, Qatar, Romania, Saudi Arabia, Serbia, South Africa, Ukraine, United Arab Emirates, United Kingdom","
            Lead cloud-native offerings, promote dockerized content/workflows, and develop solutions with the operators. Must have Kubernetes and cloud-native software engineering experience and a technical or <b>science</b> background. Remote options.
        ",
869,Senior Software Engineer,,Partial Remote Job,"Johnston, RI, Westwood, MA, Charlotte, NC, Phoenix, AZ","
            F/T partial remote senior software engineer needed to work closely with technology and business colleagues to implement modern APIs. Bachelor's degree in Computer <b>Science</b>, 8+ years of software development, and proficiency in Agile practices required.
        ",
870,Business Intelligence Developer,,Remote - During Pandemic Job,"Austin, TX","
            Candidate will build and maintain new <b>data</b> pipelines to ingest new <b>data</b> sources and support products and optimize by building tools to monitor <b>data</b> quality. Master's degree and three years' <b>data</b> warehousing exp. req. Remote job during pandemic.
        ",
871,Medical Writer II,,100% Remote Job,India,"
            Telecommute position writing medical content for various documents. Research, gather, and prepare clinical materials for regulatory submission. Must have a bachelor's degree in a health or life <b>sciences</b> area and relevant writing and medical experience.
        ",
872,Site Reliability Engineer,,100% Remote Job,"Los Angeles, CA","
            Generate mobile apps and <b>data</b>, brands, agencies and ad tech companies and generate user insights while delivering quality <b>data</b> that will boost campaign ROI. Must have 5+ years of Cloud native experience. Remote opportunity.
        ",
873,Software Engineer,,Partial Remote Job,"Bulgaria, Croatia, Cyprus, Czech Republic, Egypt, Israel, Kenya, Lebanon, Luxembourg, Malta, Nigeria, Oman, Qatar, Romania, Saudi Arabia, Serbia, South Africa, Ukraine, United Arab Emirates, United Kingdom, or US National","
            Full-time partial remote role. He/she will develop services to help with LXD scalability, collaborate with distributed team, and design database schemas. Bachelor's degree in Computer <b>Science</b> or STEM and experience programming in Go required.
        ",
874,Assistant Director of Financial Aid,,Remote - During Pandemic Job,"San Francisco, CA","
            Serve as the Financial Aid expert supporting a Bachelor of Applied Computer <b>Science</b> program at a college. Must have a bachelor's degree and 3 years of financial aid experience. WFH to start, $90-$100K.
        ",
875,Task Lead,,Partial Remote Job,"Fairfax, VA","
            Work-at-home position managing technical projects regarding software solution implementations. Lead teams, manage requirements, and support project activities. A BS in computer <b>science</b> and 10 years experience required. Some travel.
        ",
876,Software Developer,,Option for Remote Job,"Melbourne, Australia","
            Software developer needed for a full-time, remote option position responsible for building website designs, creating prototypes, troubleshooting and resolving issues, monitoring industry trends. Computer <b>science</b> or related college degree required.
        ",
877,Senior Full Stack Engineer,,Option for Remote Job,US National,"
            Full-time position with the option of remote work. Duties include helping develop a React/Redux front-end application, APIs, &amp; JavaScript SDKs and working on <b>data</b> visualization &amp; developer-friendly onboarding. Computer <b>Science</b> degree preferred.
        ",
878,Senior Consultant - Configuration,,Option for Remote Job,"Belgium, Denmark, Finland, France, Greece, Germany, Hungary, Ireland, Italy, Netherlands, Norway, Poland, Portugal, Romania, Spain, Sweden, Switzerland, Turkey, Ukraine, United Kingdom, or US National","
            Full-time job, some remote work. Travel. Needs four years' <b>data</b> collection and knowledge of clinical trial processes. Develop listings to implement <b>data</b> cleaning specifications, identify additional requirements and identify issues and develop programs.
        ",
879,Medical Writer,,Option for Remote Job,"Parsippany, NJ","
            Conduct research and write technical projects including journals, abstracts, and other publications. Must have 5 years minimum of medical writing experience with a publications focus. An MS in life or health <b>science</b> is required. Telecommute option.
        ",
880,Engineering Manager,,100% Remote Job,Work from Anywhere,"
            Coach engineers in the art and <b>science</b> of software engineering and evolvable software architecture. Must have a bachelor's degree and leadership experience in consumer-facing internet technology. WFH, flexible hours.
        ",
881,Senior Clinical Research Associate,,Option for Remote Job,US National,"
            Senior associate needed for a remote option job requiring a life <b>sciences</b> associate's degree, MS Office proficiency, experience with oncology, multi-tasking ability, strong problem-solving skills, and travel. Will manage communications, assist projects.
        ",
882,Insights Manager,,Partial Remote Job,"London, United Kingdom","
            Partial remote role. Oversee analyst teams, ensure scalability and probability of products, interpret needs of customers, guide <b>data</b> projects, and support strategic planning for projects. Requires project management and <b>data</b> analysis experience.
        ",
883,Business Development Associate - Cell and Gene Therapy Solutions,,Partial Remote Job,"Long Beach, CA","
            Support the Cell and Gene Therapy Solutions leadership team in pursuing business growth. Must have a bachelor's degree and 1-3 years healthcare, business analytics or life <b>sciences</b> industry in a client-facing role. WFH with 10-25% travel.
        ",
884,JavaScript Software Engineer,,Option for Remote Job,US National,"
            Software engineer needed for a remote option position requiring a computer <b>science</b> or similarly focused bachelor's degree, three+ years' development experience with JavaScript, and exceptional communication skills. Will write code, develop designs.
        ",
885,Backend Engineer,,100% Remote Job,"CA, WA","
            Full-time remote role. He/she will design highly scalable backend microservices for games, improve infrastructure tools, and execute flexible, scalable solutions. Bachelor's degree in computer <b>science</b> or engineering and 4+ years' experience required.
        ",
886,Research Associate,,Remote - During Pandemic Job,"Washington, DC, Chicago, IL, Boston, MA, Oakland, CA, Austin, TX, Chapel Hill, NC, Seattle, WA, or US National","
            Remote-to-start role for a research associate. Will help design/plan/implement <b>data</b> collection instruments, conduct technical reviews, quality check <b>data</b> files, conduct analyses, produce summary statics, and write reports. Need a MA/MS and relevant exp.
        ",
887,Analytics Consultant - Business Analytics,,100% Remote Job,US National,"
            The consultant will manage <b>data</b> analytics projects, prepare solution proposals, work with clients on Big <b>Data</b> framework adoption, &amp; provide BI &amp; reporting. Requirements include a bachelor's degree &amp; three to five years' experience. Remote-based position.
        ",
888,Solutions Consultant,,Option for Remote Job,"West Chester Township, OH","
            Solutions consultant needed for a full-time, remote option position requiring ten+ years' relevant experience, computer <b>science</b> or related degree, programming proficiency, and travel ability. Will generate solutions, write code, assess client needs.
        ",
889,Business Intelligence Analyst,,Option for Remote Job,US National,"
            Evaluate high-volume <b>data</b> from business processes and practices to support optimization initiatives. Requires SaaS industry knowledge, analytical &amp; <b>data</b> modeling skills, a BA/BS degree, and 8-10+ yrs' experience. Full-time, remote optional role.
        ",
890,Solutions Architect,,Partial Remote Job,"NH, CT, MA, RI","
            Seeking a solutions architect for a partially remote position requiring ten+ years' experience with pre or post sales, a computer <b>science</b> or closely related BA/BS, strong problem-solving skills, extensive travel, and exceptional programming knowledge.
        ",
891,Business Intelligence Analyst,,100% Remote Job,"ON, Canada","
            F/T remote business intelligence analyst needed to provide feedback on detailed <b>data</b> analysis to guide <b>data</b>-driven decision-making. 5 years of exp in business intelligence or as a business systems analyst, <b>data</b> analyst/developer, or similar required.
        ",
892,Engineering Manager,,100% Remote Job,US National,"
            Lead a functional team with implementing complicated services and features, write software and mentor and provide career guidance while collaborating with peers. A bachelor's degree in Computer <b>Science</b> and relevant work experience is needed. Remote.
        ",
893,Front-End Engineer - React,,Option for Remote Job,"Chalandri Attica, Greece","
            Engineer needed for a flexible, remote option position requiring a computer <b>science</b> or similarly focused bachelor's degree, familiarity with CI/CD tools, SEO principles, Accessibility, front-end development tools, and Unit test writing.
        ",
894,Interview Engineer,,100% Remote Job,Australia,"
            Remote role with flexible hours. Provide interviews and screenings of job candidates, understand business requirements, and ensure candidate has positive experience. Requires 5+ years' software engineering experience and understanding of computer <b>science</b>.
        ",
895,Senior Backend Software Engineer,,Option for Remote Job,"New York, NY, or US National","
            Remote position will architect, design/implement backend services, come up with new features/products, instrument, test, profile/code review software, and scale software infrastructure. BS degree in Computer <b>science</b> required and five years of experience.
        ",
896,Clinical SAS Programmer,,100% Remote Job,"Santa Fe, NM","
            Remote, temporary job for candidate who will lead and review STM specs, collaborate with cross functional teams on an ongoing basis representing statistical programming, and review <b>data</b> management documents. BA/BS degree and <b>data</b> visualization exp. req.
        ",
897,Technical Support Specialist,,Option for Remote Job,"Madrid, Spain","
            Technical support specialist with outstanding customer service skills will troubleshoot and resolve user hardware and software issues. College degree in computer <b>science</b> or related field. Python, SQL, C#, JavaScript knowledge a plus. Remote available.
        ",
898,Lead Analyst,,100% Remote Job,Spain,"
            Remote lead analyst needed for <b>data</b> exploration, visualization, dashboarding, <b>data</b> analysis, modeling, and collaborating in an agile environment. Bachelor's degree with 6+ years in an eCommerce environment &amp; proficiency in SQL and <b>data</b> visualization req.
        ",
899,"Software Engineer, Web Frontend",,Flexible Schedule Job,"New York, NY","
            Build and deploy solutions to complicated UI challenges, develop TypeScript/React, and evolve the design system and processes for frontend enablement. A BS in Computer <b>Science</b> and 5+ years of experience are needed. Work flexible hours.
        ",
900,Artificial Intelligence Scientist,,100% Remote Job,US National,"
            Work on artificial intelligence and machine language projects and lead a team. Must have an MSc or PhD in computer <b>science</b> or STEM. Three years' experience including Python and R&amp;D work is required. Remote and flexible work options offered.
        ",
901,"Senior Software Engineer, Growth",,Option for Remote Job,US National,"
            Remote senior software engineer needed to own what you build as you architect, test, and refine the company's product suite. 7+ years of technical experience, experience with event analytics, &amp; practical knowledge of computer <b>science</b> fundamentals req.
        ",
902,Solutions Architect,,Option for Remote Job,"IN, AZ, CO, Washington, DC, FL, MA, MI, MN, NC, NY, OR, TX, UT, WA","
            Solutions architect needed for a full-time, remote option position requiring a computer or <b>science</b>-focused bachelor's degree, two+ years' technical experience, travel ability, strong problem-solving skills. Will build solutions, support client needs.
        ",
903,Technology Manager,,Option for Remote Job,US National,"
            Remote option. Develop applications and <b>data</b> dashboards, provide product training and staff and volunteers, provide system updates, support <b>data</b> audits, and manage cloud services. Requires 3+ years' technology experience and knowledge of PHP and Python.
        ",
904,Senior Backend Engineer,,100% Remote Job,US National,"
            Full-time remote role will architect and implement backend services, collaborate with product team, and develop new features and products. Bachelor's degree in Computer <b>Science</b> and 5+ years' experience building consumer-facing software required.
        ",
905,Public Health Informatician,,Option for Remote Job,"Atlanta, GA","
            Provide support to federal agencies with decision making using <b>data</b> and technology infrastructure. Must have a bachelor's degree and 10+ years' experience at a local, state, tribal, territorial, or federal public health agency. Remote options.
        ",
906,Senior Software Engineer - Ruby on Rails,,Option for Remote Job,"Canada, or US National","
            Senior engineer needed for a full-time, remote option position requiring a computer <b>science</b> or similarly focused BA/BS, SQL proficiency, five+ years' software engineering experience, and strong coding skills. Will write and verify code, ensure quality.
        ",
907,Analytics Engineer,,100% Remote Job,Work from Anywhere,"
            Remote position for an analytics engineer. Will design and implement <b>data</b> products and infrastructure, manage <b>data</b> cleaning, profiling and transformation processes, update <b>data</b> catalogue, and produce analytical code. Need a BA/BS and relevant experience.
        ",
908,Technical Support Engineer,,100% Remote Job,"Boston, MA","
            Work-at-home position working with various teams and customers providing technical support. Resolve issues, analyze problems, provide consultations, and write utilities and tools. A BS in computer <b>science</b> and 5 years of experience are required.
        ",
909,Senior Product Marketing Manager,,Option for Remote Job,US National,"
            Manage product marketing efforts in a remote capacity and on a senior level. Support product enablement, ensure quality, and create training programs. Must have a bachelor's degree in computer <b>science</b> or similar field plus 10 years of relevant experience.
        ",
910,Software Engineering Lead - Fast Track,,100% Remote Job,Work from Anywhere,"
            Remote software engineering lead needed to write code and help an engineering team produce a great product that will be a pleasure to use and to evolve. Math and <b>Science</b> skills, front-end web engineering experience, and software design skills required.
        ",
911,Solutions Architect,,Partial Remote Job,US National,"
            Solutions architect needed for remote position with some travel required. Role can be full-time or contract. Requirements include a bachelor's degree in computer <b>science</b> or related, and strong experience using model-based representations.
        ",
912,Software Engineer,,Option for Remote Job,US National,"
            Full-time position with the option of remote work. Duties include designing &amp; implementing real-time services, working with stakeholders to determine customers' needs, and delivering solutions. Bachelor's in Computer <b>Science</b> or related field required.
        ",
913,"Software Engineer, Backend",,100% Remote Job,US National,"
            Software engineer needed for a full-time, remote position requiring eight+ years' related development experience, a computer <b>science</b> or closely related bachelor's degree, and extensive programming knowledge. Will assess needs, write code, resolve issues.
        ",
914,Java Developer,,100% Remote Job,"Nis, Serbia","
            Developer needed for a full-time, remote position requiring three+ years' similarly focused experience, extensive knowledge of relevant programming languages. Computer <b>science</b> or similarly focused BA/BS a plus. Will write code, resolve issues.
        ",
915,Product Analyst,,100% Remote Job,Lithuania,"
            Remote position will calculate the efficiency of updates, offers/in-game events, develop new approaches to collecting <b>data</b>/controlling the integrity of <b>data</b>, run A/B tests, and analyze game economics. BA degree required and one year of experience.
        ",
916,Lead Informatics Consultant,,Partial Remote Job,"Phoenix, AZ","
            Partial remote position will perform applied statistical research/customer analysis of healthcare <b>data</b>, make recommendations about <b>data</b> collection methods, present analytic reports, and deliver solutions. BA degree required and five years of experience.
        ",
917,Mid Backend Developer,,100% Remote Job,US National,"
            The mid backend developer will create code &amp; automated tests &amp; collaborate on engineering solutions. Must feel comfortable working with NodeJS or other backend languages &amp; have an understanding of computer <b>science</b> fundamentals. Freelance, remote role.
        ",
918,Software Engineer,,Remote - During Pandemic Job,Ireland,"
            Remote in pandemic. Build software products, implement infrastructure changes, build product automations, and collaborate across teams to resolve technical issues. Requires computer <b>science</b> knowledge and programming proficiency.
        ",
919,Purchasing Assistant,,Partial Remote Job,"Logan, UT","
            Be in charge of daily general office duties for the Animal Dairy &amp; Veterinary <b>Sciences</b> at a university in Utah. Excellent customer service skills and computer/spreadsheet skills are required. Part-time temp job for $11/hour with some remote work.
        ",
920,"Research Scientist, Cryptography",,100% Remote Job,US National,"
            Research scientist needed for a full-time, telecommute job requiring a computer <b>science</b> or related master's degree, research experience, and exceptional communication skills. Will generate protocols, assist teams, conduct tech research.
        ",
921,Product Analyst,,Option for Remote Job,"San Francisco, CA, Salt Lake City, UT","
            Support NIS cloud teams in administration functions regarding the cloud integration platform. Oversee compliance, repositories, planning, risk mitigation, and delivery. A bachelor of <b>science</b> degree and at least a year of experience are required. Remote.
        ",
922,"Manager, Senior Manager - Senior Cloud Architect",,100% Remote Job,"Washington, DC, Santa Clara, CA, Raleigh, NC, Dallas, TX","
            Remote job for candidate who will design end-to-end big <b>data</b> platforms, define and lead strategy discussions, and identify, design, and implement process improvements such as automation. Bachelor's degree and big <b>data</b>, relational SQL, and Azure exp. req.
        ",
923,"Staff Site Reliability Engineer, Infrastructure Foundations",,100% Remote Job,Work from Anywhere,"
            Will design networking infrastructure, troubleshoot issues, and implement policies. Must have five-plus yrs' experience in the field and a bachelor's degree in Computer <b>Science</b>. Work-from-home option with a flexible schedule and benefits.
        ",
924,Senior Full Stack Engineer,,Remote - During Pandemic Job,"Lawrenceville, NJ","
            The sr. full stack engineer will create web apps &amp; user interfaces, drive solutions for how research <b>data</b> is managed, &amp; resolve technical issues. This temporary job will be remote during COVID-19. Requires at least 10 years' full stack engineering exp.
        ",
925,Signout Laboratory Director,,100% Remote Job,"San Francisco, CA","
            Remote F/T sign out laboratory director needed to review and sign out clinical cases in cancer, immunological, hematological genetics, and other areas. M.D. or Ph.D. in a biological <b>science</b> field and experience in relevant molecular testing required.
        ",
926,Senior Software Engineer,,100% Remote Job,"WA, CA","
            Full-time remote role. He/she will design and code scalable features, collaborate with cross-functional team, and participate in full project life-cycle. Bachelor's degree in Computer <b>Science</b> and 5+ years' engineering experience required.
        ",
927,Real World Evidence Sales Project Manager,,100% Remote Job,"Woonsocket, RI","
            Remote position will be responsible for organizing/managing day-to-day activities that lead to new clinical studies and identify <b>science</b> companies who will likely purchase services to support the purchasing process. BA degree and one-year exp. required.
        ",
928,"Medical Director, Research",,Flexible Schedule Job,"New York, NY, San Francisco, CA","
            Full-time position. Will conduct research, collaborate with team, interpret results, provide clinical input, translate <b>data</b> and interface with technology. MD and 2+ years' related experience required. Flexible schedule.
        ",
929,Technical Writer,,Option for Remote Job,US National,"
            Remote position will explain highly technical <b>data</b>/information in styles tailored for specific audiences, ensure grammatical/logic, gather/convert <b>data</b>, trace documentation requirements, and edit narratives. BA degree required and five years of exp.
        ",
930,Database Administrator,,Partial Remote Job,"Bradenton, FL","
            Will coordinate security efforts, perform upgrades, and maintain user access lists. Bachelor's degree in Computer <b>Science</b> and at least five yrs' exp. in the field required. This is a partially remote position.
        ",
931,Engineering Manager,,100% Remote Job,"Canada, Australia, or US National","
            Seeking an engineering manager for a remote position requiring seven+ years' software development experience, a computer <b>science</b> or related college degree, and three+ years' leadership experience within the engineering industry.
        ",
932,Healthcare Economics Analyst,,100% Remote Job,US National,"
            Full-time, remote position. Responsibilities include organizing &amp; analyzing <b>data</b> using SQL, managing medical claims &amp; biometrics <b>data</b> acquisition, monitoring <b>data</b> pipelines, and designing, planning, &amp; executing clinical reports. Bachelor's required.
        ",
933,Marketing Analyst,,100% Remote Job,US National,"
            Generate <b>data</b>-driven reports for marketing campaigns and applications, handle <b>data</b> querying and management, assist clients with understanding information, and actively use Excel and SQL. Work from home opportunity with a pay range of $60,000-$70,000/yr.
        ",
934,Technical Writer,,100% Remote Job,"Ottawa, Canada","
            The technical writer will conduct research &amp; develop product manuals &amp; guides. This can be a remote role, but occasional trips to the office should be expected. Must have at least two years' exp. &amp; a communications, computer <b>science</b>, or English degree.
        ",
935,Skills Transformation Consultant,,Option for Remote Job,US National,"
            Remote option role. He/she will serve as senior advisor to customers on <b>data</b> skills, translate <b>data</b> learning needs into curricula, and develop GTM strategies. 7+ years' business experience and 4+ years' experience as engineer or <b>data</b> scientist required.
        ",
936,Hadoop - Spark Developer,,Partial Remote Job,US National,"
            Will design/implement <b>data</b> solutions, analyze existing <b>data</b>, and make improvements. Bachelor's degree and two-plus yrs' exp. in Hadoop/Spark development req. Contract or full-time opportunity with benefits. Partially remote.
        ",
937,"Senior Statistical Consultant, Biostatistics",,Option for Remote Job,"San Diego, CA","
            The contractor will support drug development projects, create SAPs &amp; <b>data</b> capture systems, &amp; analyze <b>data</b>. Teleworking is permitted. A master's degree or PhD in Biostatistics or Statistics is required; those with the former need three years' experience.
        ",
938,Field Software Engineer,,Partial Remote Job,"Australia, Bangladesh, China, Hong Kong, India, Indonesia, Japan, Malaysia, New Zealand, Pakistan, Philippines, Russia, Singapore, Sri Lanka, Taiwan, Thailand, Vietnam","
            Full-time partial remote role for developer who loves to solve client problems via architecture, presentations, and training. Bachelor's degree in Computer <b>Science</b> and 3 years' Linux development experience required. Python and Go skills req. Travel 50%.
        ",
939,"Mobile Software Engineer, iOS, Swift",,Option for Remote Job,"San Francisco, CA, or US National","
            Collaborate with a team of product managers, designers, QA, and other developers to drive mobile projects from beginning to end. Must have a strong software engineering background with understanding of computer <b>science</b> fundamentals. WFH.
        ",
940,"Consultant, Analytics",,100% Remote Job,"New York, NY","
            Remote role. Provide <b>data</b> analysis and build models and dashboards to support strategic planning efforts, respond to client questions, minimize company risk, and provide insights to stakeholders. Requires 1 year experience and programming proficiency.
        ",
941,Senior .NET Sitecore Developer,,100% Remote Job,"Irving, TX","
            Remote F/T senior .NET Sitecore developer needed to coordinate and support development activities. Bachelor's in Computer <b>Science</b>, 5+ years professional development experience, Sitecore certification, and API web services experience required.
        ",
942,Marketing Analyst,,100% Remote Job,US National,"
            Analyze marketing <b>data</b>, build <b>data</b> pipelines and infrastructure design, provide updates to stakeholders, provide forecasts and reporting to teams, and support marketing segmentation and projections. Requires BA &amp; 2 years' analytics experience. WFH role.
        ",
943,Senior Software Engineer,,Remote - During Pandemic Job,"Richardson, TX","
            Responsible for interpreting the requirements of various Big <b>Data</b> Analytic, use cases and scenarios, and driving the design and implementation of <b>data</b> models. Must have a master's and 6 years of experience in <b>data</b> engineering or software development. WFH.
        ",
944,Finance Manager,,Remote - During Pandemic Job,"New York, NY","
            Collaborate with teams to analyze <b>data</b> and build dashboards and visualizations, communicate with leadership teams, understand client requirements, and encourage business development. Remote in pandemic. Requires BA and 5 years' finance experience.
        ",
945,Front-End Engineer,,Remote - During Pandemic Job,US National,"
            The front-end engineer will be working on the company's scalable software solutions. At least three years' software engineering exp. is required; a computer <b>science</b> bachelor's degree is desired. A work-at-home policy is in effect during the pandemic.
        ",
946,"Director, Health Equity",,Remote - During Pandemic Job,"Washington, DC","
            Lead the design and deployment of equity frameworks into patient support, monitor the latest trends and prostate cancer <b>science</b>, develop and execute plans and manage relationships and resources. Remote work is allowed during the COVID-19 pandemic.
        ",
947,Sales Operations Analyst III,,Option for Remote Job,"Jacksonville, FL, or US National","
            Full-time position. Will conduct analyses, provide training, assist with forecasting, work on special projects and compile <b>data</b>. Bachelor's degree and related experience required. Telecommute option.
        ",
948,Strategy Operations Advisor,,Option for Remote Job,"Woonsocket, RI","
            Optional remote job for candidate who will build and enhance the profitability <b>data</b> model and infrastructure, serve as the strategic and technical implementation partner, and develop executive materials. 3 years' business trends exp. and BA/BS degree req.
        ",
949,Senior Resource Planning Manager,,Partial Remote Job,"Costa Rica, Colombia, or US National","
            Remote position will ensure governance/<b>data</b> integrity of job descriptions, track consultant skills, client placement requirements, ensure quality of the <b>data</b>, and enforce cross-functional <b>data</b> entry. BA degree preferred and eight years of experience.
        ",
950,Full Stack Engineer,,Remote - During Pandemic Job,"Mountain View, CA","
            Remote-during-pandemic position for a full-stack engineer. Will participate in the full lifecycle of projects, design, code, unit tests and maintain codebases, and participate in code review processes. Need a computer <b>science</b> degree and three years' exp.
        ",
951,Operational Study Manager - Real World Solutions,,Option for Remote Job,"Canada, or US National","
            Full-time job,  remote option. Needs a bachelors' degree and three years' experience in clinical research. Provide project oversight and leadership, manage <b>data</b>, delver operational activities such as site management and <b>data</b> review, and ensure compliance.
        ",
952,IT Product Manager,,Option for Remote Job,"Charlotte, NC, Corning, NY","
            Remote position will align business/<b>data</b> strategy, lead research, strategy creation/development of new <b>data</b> products or services to improve customer experience, identify sources of <b>data</b>, and analyze <b>data</b> progress. BA degree required and ten years of exp.
        ",
953,Strategy Analyst,,100% Remote Job,US National,"
            Telecommuting role for a strategy analyst. Will gather and analyze <b>data</b>, evaluate business challenges, develop and validate hypotheses, drive recommendations, deliver reports and presentations, and manage <b>data</b> extraction. Need BA/BS and three years' exp.
        ",
954,Lead Growth Analyst,,Option for Remote Job,US National,"
            Full-time job, some remote work. Travel. Needs bachelor's degree and ability to ensure accountability. Work with growth and strategy team members, analyze raw claims <b>data</b>, conduct a variety of benchmarking analysis, and will extract <b>data</b> from Salesforce.
        ",
955,"Principal Program Manager, Workforce Management",,100% Remote Job,US National,"
            Full-time, remote position. Duties include defining overall program metrics, forecasting long-term utilization, leading collaboration with multiple internal teams to build demand forecast models, and analyzing <b>data</b>. 7+ yrs' experience required.
        ",
956,Software Engineer - Wireless,,Remote - During Pandemic Job,"Berlin, Germany","
            Full-time role. Remote during the pandemic. Role will be part of a team that creates, builds, and operates the programmable cloud-based platform. Bachelor's degree in Computer <b>Science</b> or Computer Engineering and 3+ years' experience required.
        ",
957,Head of Government,,100% Remote Job,"Canada, Mexico, or US National","
            Develop a go-to-market strategy to grow and shape a <b>data</b> company's government technology business. Must have 5+ years experience in government sales with 3+ years successful track record selling SaaS or <b>data</b>. Full-time, remote position.
        ",
